,TEAM,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,WIN_PCT,YEAR
0,Houston,B12,119.1,85.7,.9778,49.7,44.0,13.7,24.7,36.9,30.2,29.9,39.0,48.4,43.4,34.7,30.0,36.6,40.9,63.4,10.4,0.8823529411764706,2024
1,Connecticut,BE,126.9,93.8,.9700,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,40.9,33.2,64.6,11.0,0.9117647058823529,2024
2,Purdue,B10,126.2,94.8,.9640,56.0,47.7,16.5,14.0,37.4,24.7,42.8,23.0,53.2,48.1,40.8,31.4,35.0,37.2,67.6,10.9,0.8787878787878788,2024
3,Iowa St.,B12,113.5,86.7,.9569,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,32.0,45.0,67.6,6.7,0.7941176470588235,2024
4,Auburn,SEC,120.7,92.2,.9569,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,37.5,33.3,69.9,5.4,0.7941176470588235,2024
5,Arizona,P12,121.6,93.6,.9530,55.0,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,32.6,38.2,72.1,4.9,0.7575757575757576,2024
6,Tennessee,SEC,115.5,91.3,.9371,51.5,45.4,14.6,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,41.3,41.4,69.3,5.6,0.75,2024
7,Marquette,BE,118.8,94.8,.9302,55.1,49.7,14.3,21.1,26.0,30.8,25.6,28.2,56.0,49.2,35.8,33.6,40.5,43.1,69.1,6.2,0.7352941176470589,2024
8,North Carolina,ACC,116.8,93.4,.9291,51.3,46.4,14.4,14.9,32.8,23.5,36.8,28.3,50.3,46.0,35.4,31.4,35.9,36.1,70.4,6.4,0.7941176470588235,2024
9,Creighton,BE,120.6,96.7,.9269,57.5,46.4,15.3,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,48.9,27.2,67.0,4.2,0.71875,2024
10,Duke,ACC,120.8,97.0,.9259,55.2,49.0,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,37.4,35.5,66.9,3.2,0.75,2024
11,Illinois,B10,125.3,101.2,.9214,53.8,48.0,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,38.3,27.9,69.9,5.9,0.7647058823529411,2024
12,Saint Mary's,WCC,115.9,93.6,.9207,53.1,45.1,16.0,16.7,39.0,22.4,28.3,32.2,53.0,43.6,35.5,32.4,36.7,29.0,62.1,1.5,0.8125,2024
13,Gonzaga,WCC,121.4,98.6,.9158,56.7,47.3,14.0,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34.0,31.4,36.9,69.1,2.5,0.8064516129032258,2024
14,Alabama,SEC,125.1,102.2,.9112,56.3,49.9,16.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,46.8,36.7,72.5,3.3,0.65625,2024
15,Kansas,B12,113.3,92.9,.9078,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,29.7,41.1,68.9,4.1,0.7096774193548387,2024
16,Baylor,B12,122.1,100.1,.9077,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,38.3,35.5,65.8,4.9,0.71875,2024
17,BYU,B12,120.4,99.1,.9035,55.1,48.0,15.2,16.0,32.8,24.7,25.3,32.1,58.0,48.2,34.8,31.8,50.7,34.1,69.0,2.7,0.696969696969697,2024
18,Wisconsin,B10,119.8,98.9,.9004,52.4,52.2,14.6,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,35.4,34.4,65.0,3.2,0.6285714285714286,2024
19,Nebraska,B10,115.7,95.6,.8995,53.2,46.3,15.9,16.4,27.8,30.0,32.4,27.7,52.8,45.2,35.8,31.9,44.5,41.7,68.7,2.3,0.696969696969697,2024
20,Michigan St.,B10,112.7,93.3,.8976,51.5,48.0,14.7,18.7,29.9,28.7,29.9,32.6,50.5,47.1,35.9,32.8,30.2,41.3,65.3,0.12,0.5757575757575758,2024
21,Texas,B12,118.9,98.4,.8976,53.7,49.0,16.6,18.6,30.5,30.0,30.4,35.0,53.4,47.4,36.1,34.8,34.9,32.4,67.2,1.0,0.625,2024
22,New Mexico,MWC,115.1,95.4,.8966,51.0,48.0,13.9,19.5,33.4,27.0,33.1,33.5,51.4,49.2,33.4,30.6,29.8,36.6,72.8,1.9,0.7647058823529411,2024
23,Florida,SEC,119.6,99.4,.8938,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49.0,34.2,32.2,34.5,32.7,71.6,2.8,0.6857142857142857,2024
24,Kentucky,SEC,123.0,102.3,.8923,57.4,49.5,14.2,16.0,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,37.3,39.9,72.5,2.8,0.71875,2024
25,Colorado,P12,117.3,98.0,.8877,55.3,49.3,18.1,15.2,32.4,24.0,35.3,28.1,53.6,50.1,39.4,31.9,30.4,35.3,67.7,1.7,0.7058823529411765,2024
26,San Diego St.,MWC,111.8,93.8,.8829,49.8,47.2,16.0,18.0,32.7,28.0,37.5,33.3,51.6,48.3,31.3,30.5,37.8,40.5,66.1,2.8,0.75,2024
27,Texas Tech,B12,117.3,98.6,.8810,52.8,49.1,16.5,17.0,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,41.1,39.0,66.5,3.2,0.696969696969697,2024
28,Mississippi St.,SEC,112.6,95.0,.8761,51.7,47.7,18.7,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,38.2,41.1,67.2,0.7,0.6176470588235294,2024
29,Northwestern,B10,117.1,99.2,.8706,53.2,51.6,13.3,18.8,25.7,28.2,29.9,39.4,49.7,50.3,39.4,35.9,36.8,36.9,63.7,1.4,0.65625,2024
30,Nevada,MWC,115.4,97.9,.8688,53.3,48.2,15.0,17.3,27.5,27.2,46.2,34.3,52.6,49.1,36.5,31.3,33.6,41.0,66.8,2.9,0.8125,2024
31,Colorado St.,MWC,114.3,97.1,.8663,54.8,48.7,15.0,16.6,24.4,27.0,32.5,31.7,57.8,47.8,33.3,33.5,38.1,33.9,66.0,1.6,0.7575757575757576,2024
32,TCU,B12,114.3,97.3,.8650,51.9,50.3,17.9,20.8,35.5,28.6,35.1,35.7,51.2,50.9,35.6,32.8,30.2,35.2,69.9,1.1,0.6363636363636364,2024
33,Clemson,ACC,116.7,99.4,.8630,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,40.2,40.6,66.2,0.8,0.65625,2024
34,Boise St.,MWC,114.3,97.7,.8587,51.6,49.8,16.5,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,39.8,36.9,66.7,1.1,0.7333333333333333,2024
35,Washington St.,P12,112.8,96.6,.8563,52.1,47.3,16.1,15.9,32.9,24.9,31.7,32.7,52.6,46.9,34.0,32.0,32.0,31.5,64.9,2.0,0.7272727272727273,2024
36,Dayton,A10,117.5,100.8,.8535,56.6,47.9,15.8,15.7,26.9,29.0,37.2,21.8,53.7,48.2,40.2,31.7,44.5,40.4,64.0,2.5,0.7741935483870968,2024
37,Texas A&M,SEC,115.1,99.1,.8481,45.4,50.1,14.2,16.9,41.9,28.0,38.2,31.2,47.0,49.5,28.4,33.9,38.1,44.9,65.6,0.10,0.5882352941176471,2024
38,South Carolina,SEC,114.4,99.0,.8403,50.8,48.0,15.5,14.9,33.1,28.0,31.8,30.8,51.1,46.8,33.5,33.6,41.0,31.2,63.0,4.7,0.7878787878787878,2024
39,Drake,MVC,114.9,100.2,.8283,54.9,51.0,13.9,17.4,24.2,22.1,32.6,31.0,55.1,51.9,36.5,33.0,39.6,39.3,67.8,1.7,0.8484848484848485,2024
