RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,"Houston
 1 seed, ✅",B12,34,"30-4
15–3","119.1
16","85.7
1",".9778
1","49.7
228","44.0
2","13.7
9","24.7
3","36.9
12","30.2
228","29.9
260","39.0
308","48.4
260","43.4
3","34.7
139","30.0
13","36.6
201","40.9
294","63.4
349","10.4
3"
2,"Connecticut
 1 seed, ✅",BE,34,"31-3
18–2","126.9
1","93.8
14",".9700
2","57.1
6","45.1
3","14.9
49","16.2
232","36.5
14","26.8
83","33.3
162","32.5
173","58.5
6","43.7
6","36.7
31","31.9
61","40.9
87","33.2
47","64.6
325","11.0
1"
3,"Purdue
 1 seed, ✅",B10,33,"29-4
17–3","126.2
2","94.8
17",".9640
3","56.0
13","47.7
43","16.5
144","14.0
336","37.4
8","24.7
23","42.8
8","23.0
10","53.2
69","48.1
76","40.8
2","31.4
41","35.0
243","37.2
184","67.6
168","10.9
2"
4,"Iowa St.
 2 seed, ✅",B12,34,"27-7
13–5","113.5
51","86.7
2",".9569
4","51.9
106","47.1
28","15.7
81","25.7
2","31.6
95","29.4
197","36.1
92","35.2
249","51.7
117","46.9
44","34.9
124","31.5
48","32.0
301","45.0
353","67.6
170","6.7
4"
5,"Auburn
 4 seed, ✅",SEC,34,"27-7
13–5","120.7
10","92.2
5",".9569
5","54.1
40","43.4
1","14.9
49","18.2
96","32.9
59","30.3
232","38.2
48","41.0
331","54.9
29","42.8
1","35.2
109","29.8
9","37.5
177","33.3
50","69.9
58","5.4
9"
6,"Arizona
 2 seed, ✅",P12,33,"25-8
15–5","121.6
7","93.6
10",".9530
6","55.0
24","48.7
79","16.1
109","18.1
104","36.3
16","23.1
5","36.7
81","25.7
21","54.6
35","47.8
67","37.1
23","33.4
141","32.6
293","38.2
214","72.1
16","4.9
10"
7,"Tennessee
 2 seed, ✅",SEC,32,"24-8
14–4","115.5
34","91.3
3",".9371
7","51.5
129","45.4
6","14.6
38","18.9
62","32.4
73","28.6
155","34.3
131","35.8
261","51.6
122","44.3
8","34.2
158","31.4
41","41.3
76","41.4
308","69.3
79","5.6
8"
8,"Marquette
 2 seed, ✅",BE,34,"25-9
14–6","118.8
19","94.8
18",".9302
8","55.1
22","49.7
129","14.3
27","21.1
20","26.0
278","30.8
268","25.6
344","28.2
68","56.0
16","49.2
122","35.8
70","33.6
154","40.5
95","43.1
340","69.1
85","6.2
6"
9,"North Carolina
 1 seed, ✅",ACC,34,"27-7
17–3","116.8
26","93.4
9",".9291
9","51.3
142","46.4
14","14.4
32","14.9
307","32.8
64","23.5
9","36.8
77","28.3
70","50.3
174","46.0
23","35.4
97","31.4
41","35.9
216","36.1
127","70.4
46","6.4
5"
10,"Creighton
 3 seed, ✅",BE,32,"23-9
14–6","120.6
11","96.7
28",".9269
10","57.5
3","46.4
14","15.3
65","11.2
362","25.9
279","24.6
22","24.5
353","16.2
1","60.6
3","45.7
20","36.1
52","32.2
78","48.9
7","27.2
4","67.0
212","4.2
13"
11,"Duke
 4 seed, ✅",ACC,32,"24-8
15–5","120.8
9","97.0
30",".9259
11","55.2
20","49.0
88","14.3
27","16.9
175","31.8
87","25.9
56","33.8
147","27.6
54","54.4
38","49.1
117","37.7
14","32.6
96","37.4
181","35.5
109","66.9
216","3.2
18"
12,"Illinois
 3 seed, ✅",B10,34,"26-8
14–6","125.3
3","101.2
96",".9214
12","53.8
47","48.0
51","15.1
59","12.3
360","36.2
17","26.1
59","37.8
58","27.1
40","54.7
33","46.6
34","34.9
124","34.3
210","38.3
149","27.9
7","69.9
59","5.9
7"
13,"Saint Mary's
 5 seed, ✅",WCC,32,"26-7
15–1","115.9
30","93.6
11",".9207
13","53.1
65","45.1
3","16.0
102","16.7
190","39.0
3","22.4
2","28.3
302","32.2
166","53.0
74","43.6
5","35.5
90","32.4
86","36.7
197","29.0
8","62.1
358","1.5
34"
14,"Gonzaga
 5 seed, ✅",WCC,31,"25-7
14–2","121.4
8","98.6
49",".9158
14","56.7
8","47.3
34","14.0
16","16.5
207","33.3
50","27.2
100","31.5
220","25.8
22","58.3
7","45.1
13","35.5
90","34.0
183","31.4
309","36.9
171","69.1
86","2.5
26"
15,"Alabama
 4 seed, ✅",SEC,32,"21-11
13–5","125.1
4","102.2
122",".9112
15","56.3
11","49.9
142","16.0
102","15.6
277","34.9
26","29.9
218","35.2
110","39.6
319","57.6
10","51.1
213","36.5
33","31.9
61","46.8
18","36.7
154","72.5
14","3.3
16"
16,"Kansas
 4 seed, ✅",B12,31,"22-10
10–8","113.3
54","92.9
7",".9078
16","53.4
53","47.6
40","16.4
133","16.8
185","25.3
291","26.4
67","32.8
178","28.5
77","54.8
30","45.3
15","33.3
209","33.8
164","29.7
336","41.1
300","68.9
93","4.1
14"
17,"Baylor
 3 seed, ✅",B12,32,"23-10
11–7","122.1
6","100.1
80",".9077
17","55.6
16","51.3
222","17.7
218","17.1
160","35.1
23","27.1
96","40.5
20","30.9
132","53.4
56","51.9
244","39.4
4","33.5
146","38.3
149","35.5
109","65.8
274","4.9
11"
18,"BYU
 6 seed, ✅",B12,33,"23-10
10–8","120.4
12","99.1
62",".9035
18","55.1
22","48.0
51","15.2
63","16.0
249","32.8
64","24.7
23","25.3
347","32.1
163","58.0
8","48.2
78","34.8
131","31.8
57","50.7
2","34.1
68","69.0
91","2.7
24"
19,"Wisconsin
 5 seed, ✅",B10,35,"22-13
11–9","119.8
13","98.9
54",".9004
19","52.4
82","52.2
271","14.6
38","16.9
175","30.5
118","24.5
18","33.5
156","33.2
198","52.6
85","50.4
178","34.8
131","37.1
343","35.4
227","34.4
77","65.0
312","3.2
17"
20,"Nebraska
 8 seed, ✅",B10,33,"23-10
12–8","115.7
32","95.6
23",".8995
20","53.2
61","46.3
13","15.9
97","16.4
214","27.8
217","30.0
221","32.4
193","27.7
57","52.8
78","45.2
14","35.8
70","31.9
61","44.5
29","41.7
314","68.7
105","2.3
27"
21,"Michigan St.
 9 seed, ✅",B10,33,"19-14
10–10","112.7
60","93.3
8",".8976
21","51.5
129","48.0
51","14.7
42","18.7
71","29.9
137","28.7
163","29.9
260","32.6
177","50.5
165","47.1
48","35.9
65","32.8
112","30.2
326","41.3
307","65.3
302","0.12
53"
22,"Texas
 7 seed, ✅",B12,32,"20-12
9–9","118.9
18","98.4
43",".8976
22","53.7
50","49.0
88","16.6
153","18.6
74","30.5
118","30.0
221","30.4
248","35.0
244","53.4
56","47.4
53","36.1
52","34.8
242","34.9
248","32.4
36","67.2
196","1.0
44"
24,"New Mexico
 11 seed, ✅",MWC,34,"26-9
10–8","115.1
37","95.4
20",".8966
24","51.0
155","48.0
51","13.9
14","19.5
46","33.4
46","27.0
93","33.1
165","33.5
206","51.4
133","49.2
122","33.4
203","30.6
23","29.8
334","36.6
148","72.8
7","1.9
29"
25,"Florida
 7 seed, ✅",SEC,35,"24-11
11–7","119.6
14","99.4
68",".8938
25","51.5
129","48.8
83","15.8
91","14.5
317","37.5
7","28.9
171","38.6
40","34.2
222","51.7
117","49.0
111","34.2
158","32.2
78","34.5
258","32.7
40","71.6
20","2.8
21"
26,"Kentucky
 3 seed, ✅",SEC,32,"23-9
13–5","123.0
5","102.3
125",".8923
26","57.4
4","49.5
116","14.2
21","16.0
249","28.9
171","30.2
228","30.4
248","33.4
203","54.7
33","49.8
150","41.2
1","32.6
96","37.3
184","39.9
275","72.5
13","2.8
23"
27,"Colorado
 10 seed, ✅",P12,34,"24-10
13–7","117.3
24","98.0
39",".8877
27","55.3
18","49.3
109","18.1
249","15.2
295","32.4
73","24.0
13","35.3
108","28.1
66","53.6
52","50.1
165","39.4
4","31.9
61","30.4
322","35.3
100","67.7
160","1.7
31"
28,"San Diego St.
 5 seed, ✅",MWC,32,"24-10
11–7","111.8
69","93.8
13",".8829
28","49.8
219","47.2
30","16.0
102","18.0
111","32.7
68","28.0
128","37.5
66","33.3
199","51.6
122","48.3
84","31.3
301","30.5
19","37.8
166","40.5
285","66.1
262","2.8
22"
