YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND
2024,2036,2036,1076,Arizona,1,1,64
2024,2035,2035,1063,Eastern Kentucky,16,64,64
2024,2022,2022,1068,Colorado St.,8,1,64
2024,2021,2021,1073,Boise St.,9,64,64
2024,2028,2028,1072,BYU,5,1,64
2024,2027,2027,1056,Grand Canyon,12,64,64
2024,2030,2030,1075,Auburn,4,1,64
2024,2029,2029,1077,Appalachian St.,13,64,64
2024,2026,2026,1065,Dayton,6,1,64
2024,2025,2025,1052,Indiana St.,11,64,64
2024,2032,2032,1078,Alabama,3,1,64
2024,2031,2031,1079,Akron,14,64,64
2024,2024,2024,1060,Florida,7,1,64
2024,2023,2023,1059,Florida Atlantic,10,64,64
2024,2034,2034,1050,Kansas,2,1,64
2024,2033,2033,1070,Colgate,15,64,64
2024,2020,2020,1067,Connecticut,1,1,64
2024,2019,2019,1061,Fairfield,16,64,64
2024,2006,2006,1043,Mississippi St.,8,1,64
2024,2005,2005,1044,Michigan St.,9,64,64
2024,2012,2012,1071,Clemson,5,1,64
2024,2011,2011,1046,McNeese St.,12,64,64
2024,2014,2014,1066,Creighton,4,1,64
2024,2013,2013,1048,Louisiana Tech,13,64,64
2024,2010,2010,1029,Saint Mary's,6,1,64
2024,2009,2009,1039,New Mexico,11,64,64
2024,2016,2016,1074,Baylor,3,1,64
2024,2015,2015,1069,College of Charleston,14,64,64
2024,2008,2008,1022,TCU,7,1,64
2024,2007,2007,1058,Gonzaga,10,64,64
2024,2018,2018,1047,Marquette,2,1,64
2024,2017,2017,1062,Eastern Washington,15,64,64
2024,2004,2004,1054,Houston,1,1,64
2024,2003,2003,1057,Grambling St.,16,64,64
2024,1986,1986,1036,Northwestern,8,1,64
2024,1985,1985,1040,Nevada,9,64,64
2024,1994,1994,1049,Kentucky,5,1,64
2024,1993,1993,1033,Princeton,12,64,64
2024,1996,1996,1053,Illinois,4,1,64
2024,1995,1995,1028,Samford,13,64,64
2024,1990,1990,1025,South Carolina,6,1,64
2024,1989,1989,1032,Providence,11,64,64
2024,1998,1998,1064,Duke,3,1,64
2024,1997,1997,1055,High Point,14,64,64
2024,1988,1988,1019,Texas Tech,7,1,64
2024,1987,1987,1041,Nebraska,10,64,64
2024,2000,2000,1037,North Carolina,2,1,64
2024,1999,1999,1042,Morehead St.,15,64,64
2024,1984,1984,1031,Purdue,1,1,64
2024,1983,1983,1024,South Dakota St.,16,64,64
2024,1966,1966,1034,Oklahoma,8,1,64
2024,1965,1965,1020,Texas,9,64,64
2024,1974,1974,1012,Wisconsin,5,1,64
2024,1973,1973,1023,South Florida,12,64,64
2024,1976,1976,1027,San Diego St.,4,1,64
2024,1975,1975,1018,UC Irvine,13,64,64
2024,1970,1970,1013,Washington St.,6,1,64
2024,1969,1969,1026,Seton Hall,11,64,64
2024,1978,1978,1051,Iowa St.,3,1,64
2024,1977,1977,1016,Vermont,14,64,64
2024,1968,1968,1017,Utah St.,7,1,64
2024,1967,1967,1015,Virginia,10,64,64
2024,1980,1980,1021,Tennessee,2,1,64
2024,1979,1979,1035,Oakland,15,64,64
