,TEAM,CONF,ADJOE,ADJDE,BARTHAG_x,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR_x,FTRD_x,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB_x,WIN_PCT,YEAR,BADJ EM,BADJ O,BADJ D,BARTHAG_y,EFG%,EFGD%,FTR_y,FTRD_y,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB_y,WIN_PCT_CONF
0,Dayton,A10,117.5,100.8,0.8535,56.6,47.9,15.8,15.7,26.9,29.0,37.2,21.8,53.7,48.2,40.2,31.7,44.5,40.4,64.0,2.5,0.7741935483870968,2024,5.5,108.1,102.6,0.646,51.6,49.2,33.9,32.5,16.6,16.7,28.3,71.7,28.3,71.7,68.1,50.9,48.3,35.1,33.7,10.5,9.8,52.9,51.4,60.2,39.8,61.4,38.6,68.4,77.115,80.244,1.872,18.179,72.2,71.7,1.073,1.033,17.561,-4.2,0.5793450881612091
1,Duquesne,A10,106.4,96.2,0.7619,50.1,48.0,17.5,19.5,29.9,30.0,33.1,35.3,49.6,48.4,33.9,31.7,39.7,37.3,66.3,-1.8,0.7058823529411765,2024,5.5,108.1,102.6,0.646,51.6,49.2,33.9,32.5,16.6,16.7,28.3,71.7,28.3,71.7,68.1,50.9,48.3,35.1,33.7,10.5,9.8,52.9,51.4,60.2,39.8,61.4,38.6,68.4,77.115,80.244,1.872,18.179,72.2,71.7,1.073,1.033,17.561,-4.2,0.5793450881612091
2,North Carolina,ACC,116.8,93.4,0.9291,51.3,46.4,14.4,14.9,32.8,23.5,36.8,28.3,50.3,46.0,35.4,31.4,35.9,36.1,70.4,6.4,0.7941176470588235,2024,11.5,110.9,99.4,0.779,51.4,49.5,31.9,30.0,15.9,17.1,28.6,72.7,27.3,71.4,68.7,51.0,49.3,34.8,33.2,10.5,9.1,51.1,49.6,62.4,37.6,61.9,38.1,68.6,77.902,81.051,1.648,61.688,73.6,72.8,1.081,1.026,26.024,-1.3,0.5878048780487805
3,Duke,ACC,120.8,97.0,0.9259,55.2,49.0,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,37.4,35.5,66.9,3.2,0.75,2024,11.5,110.9,99.4,0.779,51.4,49.5,31.9,30.0,15.9,17.1,28.6,72.7,27.3,71.4,68.7,51.0,49.3,34.8,33.2,10.5,9.1,51.1,49.6,62.4,37.6,61.9,38.1,68.6,77.902,81.051,1.648,61.688,73.6,72.8,1.081,1.026,26.024,-1.3,0.5878048780487805
4,Clemson,ACC,116.7,99.4,0.863,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,40.2,40.6,66.2,0.8,0.65625,2024,11.5,110.9,99.4,0.779,51.4,49.5,31.9,30.0,15.9,17.1,28.6,72.7,27.3,71.4,68.7,51.0,49.3,34.8,33.2,10.5,9.1,51.1,49.6,62.4,37.6,61.9,38.1,68.6,77.902,81.051,1.648,61.688,73.6,72.8,1.081,1.026,26.024,-1.3,0.5878048780487805
5,North Carolina St.,ACC,114.0,101.4,0.7947,50.7,50.5,13.7,17.9,28.6,29.3,32.5,31.9,50.1,49.5,34.6,34.9,33.5,35.3,67.9,-0.8,0.6111111111111112,2024,11.5,110.9,99.4,0.779,51.4,49.5,31.9,30.0,15.9,17.1,28.6,72.7,27.3,71.4,68.7,51.0,49.3,34.8,33.2,10.5,9.1,51.1,49.6,62.4,37.6,61.9,38.1,68.6,77.902,81.051,1.648,61.688,73.6,72.8,1.081,1.026,26.024,-1.3,0.5878048780487805
6,Virginia,ACC,103.6,92.2,0.7914,48.6,46.6,13.0,19.4,25.6,28.1,25.3,25.8,46.2,47.2,35.8,30.5,32.6,39.6,60.1,1.1,0.6764705882352942,2024,11.5,110.9,99.4,0.779,51.4,49.5,31.9,30.0,15.9,17.1,28.6,72.7,27.3,71.4,68.7,51.0,49.3,34.8,33.2,10.5,9.1,51.1,49.6,62.4,37.6,61.9,38.1,68.6,77.902,81.051,1.648,61.688,73.6,72.8,1.081,1.026,26.024,-1.3,0.5878048780487805
7,Vermont,AE,104.6,98.7,0.6602,51.8,46.7,13.8,15.1,22.4,23.3,29.7,25.9,53.1,46.4,33.5,31.5,44.1,36.5,63.4,-1.2,0.875,2024,-4.9,101.5,106.4,0.368,49.7,49.3,30.5,31.8,16.8,16.1,26.1,71.6,28.4,73.9,70.9,50.7,50.5,32.0,31.4,9.3,9.9,47.3,46.9,63.4,36.6,65.1,34.9,70.3,76.793,79.114,2.143,6.599,71.1,71.1,1.021,1.037,11.807,-8.4,0.49137931034482757
8,Stetson,ASun,108.3,114.1,0.3545,53.4,52.0,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,41.8,37.4,66.0,-6.8,0.7096774193548387,2024,-7.7,103.4,111.1,0.305,50.8,52.7,30.3,32.9,16.2,15.6,27.9,70.0,30.0,72.1,69.2,50.0,52.3,34.7,35.5,8.6,9.3,46.6,48.0,60.5,39.5,61.9,38.1,68.9,76.786,79.674,2.023,7.736,72.8,72.1,1.059,1.109,12.266,-10.4,0.4227129337539432
9,Florida Atlantic,Amer,117.4,102.8,0.8207,55.0,49.7,15.8,16.5,33.8,29.2,34.8,27.5,56.0,49.3,35.6,33.6,38.8,36.3,68.0,1.3,0.7575757575757576,2024,4.1,107.8,103.7,0.61,50.4,49.5,34.3,31.6,16.7,17.3,31.1,69.1,30.9,68.9,68.6,50.6,49.3,33.4,33.2,10.0,9.7,50.1,50.7,61.7,38.3,61.3,38.7,68.6,77.286,80.339,2.233,30.594,72.3,71.7,1.074,1.047,16.998,-5.3,0.5434782608695652
